gs_name,gene_symbol
Anterior pituitary gland cells.Brain,Pou1f1
Anterior pituitary gland cells.Brain,Prl
Anterior pituitary gland cells.Brain,Rab27a
Anterior pituitary gland cells.Brain,Rcn3
Anterior pituitary gland cells.Brain,Sez6l2
Anterior pituitary gland cells.Brain,Six6
Anterior pituitary gland cells.Brain,Tbrg1
Anterior pituitary gland cells.Brain,Tmem130
Anterior pituitary gland cells.Brain,Pomc
Anterior pituitary gland cells.Brain,Gmppa
Anterior pituitary gland cells.Brain,Trim30b
Anterior pituitary gland cells.Brain,Gnb3
Anterior pituitary gland cells.Brain,Hepacam2
Anterior pituitary gland cells.Brain,Asb4
Anterior pituitary gland cells.Brain,Rax
Anterior pituitary gland cells.Brain,Nkx2-1
Anterior pituitary gland cells.Brain,Fgf10
Anterior pituitary gland cells.Brain,Fshb
Anterior pituitary gland cells.Brain,Pcsk1
Anterior pituitary gland cells.Brain,Gnrhr
Anterior pituitary gland cells.Brain,Pitx1
Anterior pituitary gland cells.Brain,Tshb
Anterior pituitary gland cells.Brain,Pax7
Anterior pituitary gland cells.Brain,Lhb
Astrocytes.Brain,S100b
Astrocytes.Brain,Slc1a2
Astrocytes.Brain,Gfap
Astrocytes.Brain,Bysl
Astrocytes.Brain,Aldh1l1
Astrocytes.Brain,Cd40
Astrocytes.Brain,Slc1a3
Astrocytes.Brain,Fgfr3
Astrocytes.Brain,Gjb6
Astrocytes.Brain,Aqp4
Astrocytes.Brain,Htra1
Astrocytes.Brain,S100a8
Astrocytes.Brain,Cldn10
Astrocytes.Brain,Itih3
Astrocytes.Brain,Nkain4
Astrocytes.Brain,Acsl6
Astrocytes.Brain,Acsbg1
Astrocytes.Brain,Tril
Astrocytes.Brain,Agt
Astrocytes.Brain,Gpr37l1
Astrocytes.Brain,Slc4a4
Astrocytes.Brain,Ntsr2
Astrocytes.Brain,Slc6a11
Astrocytes.Brain,Hspa2
Astrocytes.Brain,Slc16a2
Astrocytes.Brain,Syne1
Astrocytes.Brain,Dio2
Astrocytes.Brain,Slc7a10
Astrocytes.Brain,Entpd2
Astrocytes.Brain,Hspb6
Astrocytes.Brain,Plxnb1
Astrocytes.Brain,Lcat
Astrocytes.Brain,Pla2g7
Astrocytes.Brain,Cmtm5
Astrocytes.Brain,S1pr1
Astrocytes.Brain,Slc39a12
Astrocytes.Brain,Luzp2
Astrocytes.Brain,Gsta4
Astrocytes.Brain,Slc25a28
Astrocytes.Brain,Slc25a46
Astrocytes.Brain,Wnt3
Astrocytes.Brain,Fzd2
Astrocytes.Brain,Tead1
Astrocytes.Brain,Rlbp1
Astrocytes.Brain,Aldoc
Astrocytes.Brain,Gja1
Astrocytes.Brain,Apoe
Astrocytes.Brain,Lcn2
Astrocytes.Brain,Sox9
Astrocytes.Brain,Vim
Astrocytes.Brain,Ccr7
Astrocytes.Brain,Aanat
Astrocytes.Brain,Fabp7
Astrocytes.Brain,Socs3
Astrocytes.Brain,Synm
Astrocytes.Brain,Hmg20a
Astrocytes.Brain,Nfatc3
Astrocytes.Brain,Srr
Astrocytes.Brain,Slc1a6
Astrocytes.Brain,Ets1
Astrocytes.Brain,Slit1
Astrocytes.Brain,Snph
Astrocytes.Brain,Il23a
B cells.Immune system,Cd2
B cells.Immune system,Cd5
B cells.Immune system,Ms4a1
B cells.Immune system,Cr2
B cells.Immune system,Cd22
B cells.Immune system,Cd40
B cells.Immune system,Cd69
B cells.Immune system,Cd70
B cells.Immune system,Cd79a
B cells.Immune system,Cd79b
B cells.Immune system,Cd80
B cells.Immune system,Cd86
B cells.Immune system,Tnfrsf9
B cells.Immune system,Sdc1
B cells.Immune system,Tnfsf4
B cells.Immune system,Tnfrsf13b
B cells.Immune system,Tnfrsf13c
B cells.Immune system,Pdcd1
B cells.Immune system,Ighd
B cells.Immune system,Ighm
B cells.Immune system,Rasgrp3
B cells.Immune system,Ltb
B cells.Immune system,Fli1
B cells.Immune system,Cd14
B cells.Immune system,Sema6d
B cells.Immune system,Lair1
B cells.Immune system,Ifit3
B cells.Immune system,Igll1
B cells.Immune system,Dntt
B cells.Immune system,Mme
B cells.Immune system,Spn
B cells.Immune system,Cd19
B cells.Immune system,Cd27
B cells.Immune system,B3gat1
B cells.Immune system,Cd72
B cells.Immune system,Mum1
B cells.Immune system,Pax5
B cells.Immune system,Jchain
B cells.Immune system,Mzb1
B cells.Immune system,Ly6d
B cells.Immune system,H2-Dmb2
B cells.Immune system,Fcmr
B cells.Immune system,Bank1
B cells.Immune system,Edem1
B cells.Immune system,Vpreb3
B cells.Immune system,H2-Ob
B cells.Immune system,Pou2af1
B cells.Immune system,Creld2
B cells.Immune system,Derl3
B cells.Immune system,Siglecg
B cells.Immune system,Ralgps2
B cells.Immune system,Fchsd2
B cells.Immune system,Pold4
B cells.Immune system,Cmah
B cells.Immune system,Tnfrsf17
B cells.Immune system,Hvcn1
B cells.Immune system,Trp53inp1
B cells.Immune system,Fcrla
B cells.Immune system,Edem2
B cells.Immune system,Blnk
B cells.Immune system,H2-Oa
B cells.Immune system,Txndc11
B cells.Immune system,Btla
B cells.Immune system,Smap2
B cells.Immune system,Scd1
B cells.Immune system,Fkbp11
B cells.Immune system,Sec61a1
B cells.Immune system,Spcs3
B cells.Immune system,Spib
B cells.Immune system,Eaf2
B cells.Immune system,Cxcr4
B cells.Immune system,Birc3
B cells.Immune system,Iglc2
B cells.Immune system,Iglc3
B cells.Immune system,Iglc1
B cells.Immune system,Il21r
B cells.Immune system,Igkc
B cells.Immune system,Iglv1
B cells.Immune system,Vpreb1
B cells.Immune system,Vpreb2
B cells.Immune system,Lrmp
B cells.Immune system,Klhl6
B cells.Immune system,Slamf6
B cells.Immune system,Fam129c
B cells.Immune system,Bst1
B cells.Immune system,Msh5
B cells.Immune system,Dok3
B cells.Immune system,Bach2
B cells.Immune system,Fcer2a
B cells.Immune system,Pxk
B cells.Immune system,Ighg1
B cells.Immune system,Ighg3
B cells.Immune system,Igha
B cells.Immune system,Cd38
B cells.Immune system,Ptprc
B cells.Immune system,Ebf1
B cells.Immune system,Bcl11a
B cells.Immune system,Ccr7
B cells.Immune system,Cd55
B cells.Immune system,Cd74
B cells.Immune system,Cd52
B cells.Immune system,Tlr9
B cells.Immune system,Swap70
B cells.Immune system,Hmga1
B cells memory.Immune system,Cd38
B cells memory.Immune system,Cd80
B cells memory.Immune system,Cd84
B cells memory.Immune system,Cd86
B cells memory.Immune system,Nt5e
